Nodes:
0: (13.03, 10.0)
1: (13.34, 10.0)
2: (14.23, 10.0)
3: (14.33, 10.0)
4: (15.17, 10.0)
5: (16.490000000000002, 10.0)
6: (17.25, 10.0)
7: (19.46, 10.0)
8: (19.52, 10.0)
9: (10.12, 10.01)
10: (10.76, 10.01)
11: (11.44, 10.01)
12: (12.95, 10.01)
13: (14.95, 10.01)
14: (15.3, 10.01)
15: (17.29, 10.01)
16: (18.939999999999998, 10.01)
17: (19.04, 10.01)
18: (19.91, 10.01)
19: (10.75, 10.02)
20: (11.06, 10.02)
21: (12.61, 10.02)
22: (13.26, 10.02)
23: (14.3, 10.02)
24: (14.33, 10.02)
25: (16.19, 10.02)
26: (17.33, 10.02)
27: (18.61, 10.02)
28: (13.72, 10.03)
29: (14.09, 10.03)
30: (15.49, 10.03)
31: (17.13, 10.03)
32: (17.23, 10.03)
33: (19.810000000000002, 10.03)
34: (19.9, 10.03)
35: (19.990000000000002, 10.03)
36: (11.3, 10.04)
37: (11.4, 10.04)
38: (12.84, 10.04)
39: (14.02, 10.04)
40: (14.030000000000001, 10.04)
41: (14.219999999999999, 10.04)
42: (14.65, 10.04)
43: (14.719999999999999, 10.04)
44: (14.809999999999999, 10.04)
45: (15.629999999999999, 10.04)
46: (16.28, 10.04)
47: (16.37, 10.04)
48: (16.59, 10.04)
49: (17.38, 10.04)
50: (18.83, 10.04)
51: (19.0, 10.04)
52: (19.27, 10.04)
53: (19.439999999999998, 10.04)
54: (19.7, 10.04)
55: (10.86, 10.05)
56: (12.370000000000001, 10.05)
57: (13.06, 10.05)
58: (14.7, 10.05)
59: (15.42, 10.05)
60: (15.8, 10.05)
61: (19.25, 10.05)
62: (19.33, 10.05)
63: (19.93, 10.05)
64: (10.39, 10.06)
65: (11.52, 10.06)
66: (12.28, 10.06)
67: (12.32, 10.06)
68: (13.22, 10.06)
69: (14.16, 10.06)
70: (15.7, 10.06)
71: (16.11, 10.06)
72: (19.509999999999998, 10.06)
73: (10.92, 10.07)
74: (11.91, 10.07)
75: (11.98, 10.07)
76: (12.2, 10.07)
77: (13.58, 10.07)
78: (14.21, 10.07)
79: (14.76, 10.07)
80: (16.67, 10.07)
81: (17.63, 10.07)
82: (17.759999999999998, 10.07)
83: (10.47, 10.08)
84: (11.76, 10.08)
85: (11.85, 10.08)
86: (12.44, 10.08)
87: (13.23, 10.08)
88: (13.39, 10.08)
89: (15.190000000000001, 10.08)
90: (17.04, 10.08)
91: (19.560000000000002, 10.08)
92: (10.92, 10.09)
93: (12.58, 10.09)
94: (12.96, 10.09)
95: (13.24, 10.09)
96: (15.36, 10.09)
97: (17.08, 10.09)
98: (17.5, 10.09)
99: (18.35, 10.09)
100: (10.12, 10.1)
101: (10.42, 10.1)
102: (10.95, 10.1)
103: (11.45, 10.1)
104: (11.81, 10.1)
105: (13.16, 10.1)
106: (13.61, 10.1)
107: (13.620000000000001, 10.1)
108: (15.65, 10.1)
109: (15.86, 10.1)
110: (17.04, 10.1)
111: (17.75, 10.1)
112: (18.78, 10.1)
113: (12.27, 10.11)
114: (12.94, 10.11)
115: (13.52, 10.11)
116: (14.79, 10.11)
117: (14.92, 10.11)
118: (16.07, 10.11)
119: (16.56, 10.11)
120: (17.91, 10.11)
121: (18.35, 10.11)
122: (18.71, 10.11)
123: (19.33, 10.11)
124: (10.43, 10.12)
125: (10.81, 10.12)
126: (10.93, 10.12)
127: (13.55, 10.12)
128: (15.08, 10.12)
129: (15.85, 10.12)
130: (16.69, 10.12)
131: (19.21, 10.12)
132: (19.4, 10.12)
133: (10.25, 10.13)
134: (10.26, 10.13)
135: (11.06, 10.13)
136: (12.08, 10.13)
137: (12.79, 10.13)
